,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,pitzer_25C,pitzer_25C,pitzer_25C,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,Uncertainties,Uncertainties,Uncertainties,Uncertainties,Uncertainties,Uncertainties
,Year,Temp,Salinity,[Mg]sw,[Ca]sw,[B]sw,Mg/Casw,Mg/Caf,Mg/Caf_err,B/CaCAM,B/CaCAM_err,B/Caf,B/Caf_err,err_type,pHNBS,pHNBS_std,pH_temp,pHTOTAL,pHTOTAL_std,Alk,Alk_std,DIC,Reference,Genus,Species,Type,Sample ID,numberforams,GrowthRate_molm-2s-1,GrowthRate_err,Cleaning Procedure,Notes,size um,size um sd,test thickness um,test thickness um sd,weight ug,weight ug sd,who,pHTOTAL,DIC,Alk,DIC,TA,CO3,HCO3,CO2,pHtot,BO4,BO3,BT,KspC,DIC,TA,CO3,HCO3,CO2,pHtot,BO4,BO3,BT,KspC,DIC,TA,CO3,HCO3,CO2,pHtot,BO4,BO3,BT,KspC,H,Omega,estimated_std,reported_std,std,se,ci95,ci68
0,2013,18.0,33.3,24.79,19.08,396,1.31,2.01,0.23,,,78.0,4,"2x standard error, pooled specimens",7.55,0.01,25,,,1942.0,8.0,,This Study,Orbulina,universa,,se6,19,5.09324162999147e-07,3.15684043317271e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,552.0,117.0,16.4,5.4,,,This Study,7.411556466058109,1925.5932675169622,1942.0,1925.5932675169622,1942.0,43.63521042473471,1828.5889144757223,53.36914261650533,7.465515331320803,25.226522449655338,370.7734775503447,396.0,4.0494278422166843e-07,1927.779412845502,1942.0,38.92841082140817,1840.5767486501736,48.27425337392061,7.497534377106351,22.905510568583342,373.09448943141666,396.0,3.379848230384324e-07,1926.686340181232,1942.0,41.281810623071436,1834.5828315629478,50.82169799521297,7.481524854213577,24.06601650911934,371.9339834908807,396.0,3.714638036300504e-07,3.2997052350662704e-08,2.1204137226588275,13.189078657783867,8.717797887081348,13.189078657783867,3.0257821593520493,6.356932427550605,3.0944598925688145
1,2013,20.0,33.3,25.27,4.97,396,5.08,4.82,0.74,,,88.0,6,"2x standard error, pooled specimens",8.08,0.01,25,,,2198.0,3.0,,This Study,Orbulina,universa,,Kh1,23,4.15468238916385e-07,2.71390393548324e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562.0,138.0,15.4,6.2,,,This Study,7.941420848017349,1999.4046484597652,2198.0,1999.4046484597652,2198.0,139.67089253882267,1844.0311350692537,15.702620851688799,7.9808507360463485,71.09584473704366,324.90415526295635,396.0,4.0404124891515243e-07,2031.3121467656633,2198.0000000000005,112.80015146703066,1903.8984864204983,14.613508878134587,8.012207394891195,65.72247677818432,330.27752322181567,396.0,2.667041469545405e-07,2015.3583976127143,2198.0,126.23552200292667,1873.964810744876,15.158064864911694,7.996529065468772,68.40916075761399,327.590839242386,396.0,3.353726979348465e-07,1.008024144370033e-08,1.8707263537487773,14.879986178012567,14.387494569938157,14.879986178012567,3.102691599085662,6.434588545355795,3.1568256921834794
2,2013,20.0,33.3,25.01,4.91,396,5.09,5.3,0.78,,,117.0,9,"2x standard error, pooled specimens",8.53,0.02,25,,,2470.0,8.0,,This Study,Orbulina,universa,,Kh2,26,6.19788291626589e-07,5.04500506079035e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,552.0,150.0,16.5,5.0,,,This Study,8.391418385286967,1965.9427642232233,2470.0,1965.9427642232233,2470.0000000000005,347.0272836595332,1614.078432495253,4.83704806843731,8.43457827752343,151.80874918904178,244.1912508109582,396.0,4.0404124891515243e-07,2032.5148467546933,2470.0000000000005,291.2331696219517,1736.5959137105713,4.685763422170376,8.46623354614255,143.0370058168888,252.96299418311114,396.0,2.6535948201576785e-07,1999.2288054889582,2470.0000000000005,319.1302266407424,1675.3371731029122,4.761405745303843,8.450405911832991,147.4228775029653,248.57712249703468,396.0,3.3470036546546017e-07,3.5448191905635926e-09,4.681588592312866,19.7836179866758,22.94558781116753,22.94558781116753,4.5,9.267923487389824,4.565853005912633
3,2013,20.0,33.3,108.81,19.73,396,5.51,12.6,1.13,,,102.0,6,"2x standard error, pooled specimens",7.56,,25,,,2336.0,,,This Study,Orbulina,universa,,kh5,17,4.52170072756946e-07,1.69898745347975e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,13.9,5.3,,,This Study,7.421982847449548,2287.171154935629,2336.0,2287.171154935629,2335.9999999999995,73.7085733338311,2158.924111115897,54.53847048590047,7.462356513944578,28.42052456964367,367.5794754303563,396.0,4.0404124891515243e-07,2265.2919890568037,2336.0,92.84284463446266,2118.260991078833,54.18815334350772,7.490328273320194,30.32500986367877,365.6749901363212,396.0,6.775423048817665e-07,2276.231571996216,2336.0,83.27570898414689,2138.592551097365,54.3633119147041,7.476342393632386,29.37276721666122,366.62723278333874,396.0,5.407917768984595e-07,3.3393166767391224e-08,3.0381929024148566,17.24725670633275,12.36931687685298,17.24725670633275,4.183074185432499,8.867721132732969,4.293244499602902
4,2014,22.0,33.3,75.58,27.22,396,2.78,6.67,1.09,,,113.0,9,"2x standard error, pooled specimens",8.04,0.01,25,,,2309.0,5.0,,This Study,Orbulina,universa,,kh18,18,9.54608334015313e-07,5.46392316050427e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,548.0,54.0,40.9,8.0,,,This Study,7.901891863073995,2069.327522458714,2309.0,2069.327522458714,2308.9999999999995,180.90017487495658,1872.0542463849456,16.373101198811785,7.926601906861003,70.93248684248606,325.0675131575139,396.0,4.029386782139898e-07,2032.0882865334816,2309.000000000001,212.28449506899088,1804.3820819967898,15.421709467700818,7.947903528419321,75.25738797157392,320.74261202842604,396.0,5.818693935709604e-07,2050.707904496098,2309.0,196.59233497197374,1838.2181641908678,15.897405333256302,7.9372527176401615,73.09493740702999,322.90506259296995,396.0,4.924040358924751e-07,1.1554396917019332e-08,10.867586306919836,19.10725497858432,19.09188309203678,19.10725497858432,4.503623188405798,9.50181435958929,4.613544073056425
5,2014,22.0,33.3,50.19,21.81,396,2.3,4.25,0.71,,,89.0,11,"2x standard error, pooled specimens",8.01,0.01,25,,,2226.0,6.0,,This Study,Orbulina,universa,,kh21,13,8.0789046698183e-07,5.80046874823744e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,584.0,72.0,27.3,8.5,,,This Study,7.871727695403953,2027.925029119213,2226.0,2027.925029119213,2226.0000000000005,148.08044126255783,1861.8080771013354,18.03651075531977,7.895716926913098,64.31103122075336,331.68896877924664,396.0,4.029386782139898e-07,2016.2742821867143,2226.0,157.9721941265025,1841.389318180242,16.912769879969733,7.916368700257224,65.1157318290238,330.8842681709762,396.0,4.5163282974620487e-07,2022.0996556529635,2226.0,153.02631769453018,1851.5986976407887,17.474640317644752,7.906042813585161,64.71338152488858,331.2866184751114,396.0,4.2728575398009733e-07,1.2415299091535044e-08,7.810941408248217,15.049076930035437,19.83053201505194,19.83053201505194,5.5,11.983470563148797,5.705729114279242
6,2014,22.0,33.3,52.65,10.4,705,5.06,5.15,0.38,,,162.0,30,"2x standard error, pooled specimens",7.89,0.03,25,,,2259.0,11.0,,This Study,Orbulina,universa,,kh1,6,7.15857381775906e-07,1.8251588748756702e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562.0,63.0,24.6,2.8,,,This Study,7.751646453164501,2082.238610753405,2259.0,2082.238610753405,2258.9999999999995,110.24905082318057,1947.1438919493544,24.84566798087042,7.77195164736473,88.63225392585403,616.367746074146,705.0,4.029386782139898e-07,2080.056567750907,2259.0000000000005,112.39059080735557,1943.9697886365402,23.69618830701134,7.793442507825656,87.48300436444123,617.5169956355587,705.0,4.0287158060419233e-07,2081.1475892521557,2259.0,111.31982081526806,1945.5568402929473,24.27092814394088,7.782697077595193,88.05762914514763,616.9423708548524,705.0,4.0290512940909104e-07,1.649312393416817e-08,2.8734460099248005,27.392701827704954,36.74234614174767,36.74234614174767,15.0,38.55872754922109,16.55502409420858
7,2014,22.0,33.1,51.72,10.23,691,5.06,4.86,0.7,,,189.0,38,"2x standard error, pooled specimens",8.26,0.07,25,,,2502.0,10.0,,This Study,Orbulina,universa,,kh2,5,9.21794075250994e-07,1.33211658933965e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,545.0,72.0,25.5,3.4,,,This Study,8.121431066043817,2089.9422307781642,2502.0,2089.9422307781642,2502.000000000001,241.86902948451333,1838.0548335462192,10.018367747431805,8.143003071649705,173.80492977883893,517.195070221161,691.0,3.999173319683201e-07,2087.329462008855,2502.0,245.61203788817613,1832.2203471299833,9.497076990695765,8.165589939669676,172.09084045584126,518.9091595441587,691.0,3.9527324761274823e-07,2088.6358463935094,2502.0000000000005,243.74053368634475,1835.1375903381013,9.757722369063785,8.15429650565969,172.9478851173401,518.0521148826599,691.0,3.975952897905341e-07,7.009765576302257e-09,6.271366194818214,31.958152132322446,42.48529157249601,42.48529157249601,19.0,52.75245699875818,21.553536120072145
8,2014,22.0,33.3,52.46,10.34,697,5.07,5.23,0.5,,,119.0,17,"2x standard error, pooled specimens",7.66,0.01,25,,,2110.0,7.0,,This Study,Orbulina,universa,,kh3,8,6.39105677938571e-07,8.043247680215751e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562.0,101.0,15.6,5.7,,,This Study,7.521644848100748,2031.6879214126466,2110.0,2031.6879214126466,2110.0000000000005,64.11436184965386,1925.815550838648,41.75800872434455,7.541785926684677,54.37126492269787,642.628735077302,697.0,4.029386782139898e-07,2030.2577112324018,2109.9999999999995,64.95120497211667,1925.195141851463,40.111364408822396,7.560636739621863,53.30569004615427,643.6943099538457,697.0,4.0179891040383103e-07,2030.972816322524,2110.0,64.53278341088526,1925.5053463450554,40.93468656658347,7.551211333153271,53.838477484426065,643.1615225155739,697.0,4.023687943089104e-07,2.810532856977364e-08,1.6583517159043688,20.12179949072154,24.041630560342618,24.041630560342618,8.5,20.099306133587543,9.097442868328702
