Year,Temp,Salinity,[Mg]sw,[Ca]sw,[B]sw,Mg/Casw,Mg/Caf,Mg/Caf_err,B/CaCAM,B/CaCAM_err,B/Caf,B/Caf_err,err_type,pHNBS,pHNBS_std,pH_temp,pHTOTAL,pHTOTAL_std,Alk,Alk_std,DIC,Reference,Genus,Species,Type,Sample ID,numberforams,GrowthRate_molm-2s-1,GrowthRate_err,Cleaning Procedure,Notes,size um,size um sd,test thickness um,test thickness um sd,weight ug,weight ug sd,
2013,18,33.3,24.79,19.08,396,1.31,2.01,0.23,,,78,4,"2x standard error, pooled specimens",7.55,0.01,25,,,1942,8,,This Study,Orbulina,universa,,se6,19,5.09324162999147E-07,3.15684043317271E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,552,117,16.4,5.4,,,
2013,20,33.3,25.27,4.97,396,5.08,4.82,0.74,,,88,6,"2x standard error, pooled specimens",8.08,0.01,25,,,2198,3,,This Study,Orbulina,universa,,Kh1,23,4.15468238916385E-07,2.71390393548324E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562,138,15.4,6.2,,,
2013,20,33.3,25.01,4.91,396,5.09,5.3,0.78,,,117,9,"2x standard error, pooled specimens",8.53,0.02,25,,,2470,8,,This Study,Orbulina,universa,,Kh2,26,6.19788291626589E-07,5.04500506079035E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,552,150,16.5,5,,,
2013,20,33.3,108.81,19.73,396,5.51,12.6,1.13,,,102,6,"2x standard error, pooled specimens",7.56,,25,,,2336,,,This Study,Orbulina,universa,,kh5,17,4.52170072756946E-07,1.69898745347975E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,13.9,5.3,,,
2014,22,33.3,75.58,27.22,396,2.78,6.67,1.09,,,113,9,"2x standard error, pooled specimens",8.04,0.01,25,,,2309,5,,This Study,Orbulina,universa,,kh18,18,9.54608334015313E-07,5.46392316050427E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,548,54,40.9,8,,,
2014,22,33.3,50.19,21.81,396,2.3,4.25,0.71,,,89,11,"2x standard error, pooled specimens",8.01,0.01,25,,,2226,6,,This Study,Orbulina,universa,,kh21,13,8.0789046698183E-07,5.80046874823744E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,584,72,27.3,8.5,,,
2014,22,33.3,52.65,10.4,705,5.06,5.15,0.38,,,162,30,"2x standard error, pooled specimens",7.89,0.03,25,,,2259,11,,This Study,Orbulina,universa,,kh1,6,7.15857381775906E-07,1.82515887487567E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562,63,24.6,2.8,,,
2014,22,33.1,51.72,10.23,691,5.06,4.86,0.7,,,189,38,"2x standard error, pooled specimens",8.26,0.07,25,,,2502,10,,This Study,Orbulina,universa,,kh2,5,9.21794075250994E-07,1.33211658933965E-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,545,72,25.5,3.4,,,
2014,22,33.3,52.46,10.34,697,5.07,5.23,0.5,,,119,17,"2x standard error, pooled specimens",7.66,0.01,25,,,2110,7,,This Study,Orbulina,universa,,kh3,8,6.39105677938571E-07,8.04324768021575E-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562,101,15.6,5.7,,,
2014,22,33.1,53.11,10.4,2057,5.11,7.06,0.67,,,403,43,"2x standard error, pooled specimens",7.97,0,25,,,,,4003,This Study,Orbulina,universa,,kh4,6,0.00000095,0.000000011,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,572,40,36,9.1,,,
