,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,BOH4_HCO3,BT,depth_m,n,pHtot,temp_C,Core,comments,doi,lat,lon,sample_depth,shortref,species
1,347.8985998971555,66.85835495998741,414.75695485714294,16.963884017395166,117.66686991895074,2135.706264628232,2001.0755106918862,137.6,34.92060000000001,2303.94877506162,-0.772161,262.80709393435257,239.86194626088425,,,,0.03343532243434524,415.0562742857143,1376.0,1.0,8.130487715832253,-0.772161,PS2647,R,10.1016/j.epsl.2007.03.025,68.78,21.06,0-1,Yu2007,C. wuellerstorfi
2,349.12554374035295,65.62547254536139,414.7510162857143,17.38873529757367,115.3768078759613,2139.1627326779903,2006.3971895044551,137.5,34.9201,2303.440995398301,-0.795071,269.144685436839,248.83006504767172,248.07483601534238,249.5852940800011,,0.032731720870041205,415.05033142857144,1375.0,2.0,8.121243722013206,-0.795071,23247-2,R,10.1016/j.epsl.2007.03.025,69.49,17.12,0-1,Yu2007,C. wuellerstorfi
3,344.8443238323482,69.60263759622318,414.4469614285714,17.064367449311884,118.31888159406823,2203.363486723298,2067.9802376799184,263.0,34.8945,2374.8765108175558,-1.14911,260.407952713305,214.29504580786534,211.4778594097695,217.1122322059612,,0.033681592677134393,414.7460571428572,2630.0,2.0,8.086946273647124,-1.14911,23400,R,10.1016/j.epsl.2007.03.025,72.35,7.81,0-1,Yu2007,C. wuellerstorfi
4,344.8432407872388,69.80088121276117,414.644122,16.75956842365634,111.99438026179915,2142.2401719289014,2013.486223243446,324.7,34.9111,2307.9297822618514,-0.869125,258.63472852290613,223.6121661279662,,,,0.03469169736917098,414.94336,3247.0,1.0,8.05041523207011,-0.869125,23424,R,10.1016/j.epsl.2007.03.025,70.04,0.07,0-1,Yu2007,C. wuellerstorfi
5,349.87968144297224,64.78225627131354,414.6619377142858,17.86740251912652,110.9467240840824,2142.3382970539446,2013.5241704507357,185.1,34.912600000000005,2300.8410211196465,-0.784229,276.65942384610685,237.95687854247163,,,,0.032196786565136595,414.9611885714286,1851.0,1.0,8.087971646174411,-0.784229,23240,R,10.1016/j.epsl.2007.03.025,68.16,-9.59,0-1,Yu2007,C. wuellerstorfi
6,349.49433136513306,65.01082806343841,414.5051594285715,17.724650669743088,112.36396392390189,2144.4590953239476,2014.3704807303025,166.3,34.8994,2304.743351671914,-1.08234,271.2096785050724,241.8611801278831,,,,0.032296811995908996,414.80429714285714,1663.0,1.0,8.104532595952904,-1.08234,1914-5,R,10.1016/j.epsl.2007.03.025,73.97,-7.68,0-1,Yu2007,C. wuellerstorfi
7,345.30602447410456,69.3796675258954,414.685692,16.93330057993356,111.07924243882401,2145.442150059522,2017.4296070407643,329.9,34.9146,2309.615404463013,-0.864016,261.37404940319493,218.79376360351307,,,,0.034414949005158506,414.98496,3299.0,1.0,8.044259960198929,-0.864016,HM03-133-05,R,10.1016/j.epsl.2007.03.025,64.33,-6.08,core-top,Yu2007,C. wuellerstorfi
8,347.5061554504182,67.16053312101037,414.66668857142855,16.980558624274458,116.56511060517805,2138.220458851174,2004.6747896217214,165.2,34.913,2305.6385338870145,-0.839,262.36015482966235,261.22973312984715,,,,0.03352613675725855,414.9659428571428,1652.0,1.0,8.118426258121554,-0.839,HM03-133-11,R,10.1016/j.epsl.2007.03.025,63.0,-6.08,core-top,Yu2007,C. wuellerstorfi
11,349.64817716466365,65.5304162639078,415.17859342857145,17.950559011787554,114.24236536737472,2148.1473852277695,2015.9544608486071,236.0,34.9561,2310.844274545535,3.21866,323.95570372579743,217.89611478986546,,,,0.032529359741867825,415.47821714285715,2360.0,1.0,8.013677087027187,3.21866,NEAP 8K,R,10.1016/j.epsl.2007.03.025,59.44,22.12,12-16,Yu2007,C. wuellerstorfi
