,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca_std,BOH4_HCO3,BT,depth_m,pHtot,temp_C,doi,lat,lon,sample_depth,shortref,species
0,356.73266031455483,57.928089685445094,414.66074999999995,29.011580516111348,133.28849259830676,3003.9615877277515,2841.6615146133336,235.6,34.912499999999994,3166.7098226141206,-0.87,447.69685338258506,208.0,5.12,0.0204,414.96,2356.0,8.004,-0.87,10.1016/j.epsl.2011.08.023,73.2,-5.4,0-1,Brown2011,C. wuellerstorfi
1,350.7397670864198,64.01182939163418,414.751596478054,29.642990279841573,160.41891006883637,3355.0936972472073,3165.0317968985296,384.1,34.92014884948735,3550.641289373727,2.63243293762207,523.3376145942193,208.0,4.53,0.0202392990634632,415.050912039621,3841.0,7.93060396833641,2.63243293762207,10.1016/j.epsl.2011.08.023,32.45,-34.75,0-1,Brown2011,C. wuellerstorfi
2,351.3549490816157,63.09268555903265,414.4476346406484,29.938661834478296,154.34117121445027,3319.9371496785434,3135.657316629615,404.1,34.894556681315116,3508.1606774432244,2.4300000667572,524.4932143342646,194.0,4.53,0.0201355606025199,414.746730840774,4041.0,7.91549156849586,2.4300000667572,10.1016/j.epsl.2011.08.023,34.97,-17.35,0-1,Brown2011,C. wuellerstorfi
3,357.17961424665606,55.98045396885077,413.16006821550684,31.688720307244047,117.29797029885175,3014.130312487476,2865.14362188138,475.5,34.786149597168006,3156.290880396897,1.60145699977875,537.7315537877821,140.0,4.28,0.019552546404679,413.458235212054,4755.0,7.82879665945192,1.60145699977875,10.1016/j.epsl.2011.08.023,-27.1875,-1.5831,top,Brown2011,C. wuellerstorfi
4,360.63400861751194,53.3672173440265,414.00122596153847,30.202567183268037,113.03867100129068,2794.965721422416,2651.7244832378574,306.0,34.85697115384615,2931.788282769849,2.34,527.2171594821317,212.0,4.28,0.02014,414.3,3060.0,7.885,2.34,10.1016/j.epsl.2011.08.023,-28.8,-2.64,top,Brown2011,C. wuellerstorfi
5,355.0505666419785,58.26717125207989,413.31773789405844,31.151504398158036,128.07249711024744,3119.0973468791985,2959.873345370793,455.0,34.799424648284926,3274.8858703429655,1.50347900390625,526.6932586933933,193.0,3.21,0.0196999041402865,413.616018676758,4550.0,7.86072739279173,1.50347900390625,10.1016/j.epsl.2011.08.023,5.0331,-42.733,3-5,Brown2011,C. wuellerstorfi
6,351.5048070406506,62.529883113894336,414.03469015454493,30.17974911389779,149.2384971738334,3298.98301675371,3119.564770465979,430.0,34.85978868272569,3481.259736058654,1.99832403659821,520.101897201727,193.0,8.6,0.020058890879574,414.333488343254,4300.0,7.9029372332472,1.99832403659821,10.1016/j.epsl.2011.08.023,4.4753,-43.227,3-5,Brown2011,C. wuellerstorfi
0,348.37968030207674,66.34244351427732,414.72212381635404,28.710658310453116,174.44629415398083,3427.362091126938,3224.205138662504,338.2,34.91766738891602,3640.245514220551,2.54900002479553,505.2933242791914,85.2427443223896,2.661,0.0205912211830487,415.021418108259,3382.0,7.97447051546202,2.54900002479553,10.1016/j.epsl.2011.08.023,35.8437,-73.8875,0-1,Brown2011,O. umbonatus
1,364.92241880210895,47.276376561648185,412.19879536375714,32.51400805470965,85.84476658407583,2583.4104054422114,2465.0516308034257,399.5,34.705214909144814,2684.4724422518275,0.83652856520244,535.5883280055566,41.4217297693907,5.33,0.0191924964636338,412.496268634407,3995.0,7.79607065776586,0.83652856520244,10.1016/j.epsl.2011.08.023,-60.284,-170.023,6-8,Brown2011,O. umbonatus
