metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,measured,measured,measured,measured,derived,measured,measured,measured,measured,measured,derived,derived,measured
shortref,doi,Site,Description,species,size_fraction,lat,lon,temp_C,temp_C_std,sal,sal_std,deep_omega,PO4,TA,DIC,pHtot,pHtot_std,BOH4_HCO3,BOH4/DIC,B/Ca
Henehan2015,10.1002/2014GC005514,MC394,Mixed morph,Globigerinoides ruber (white),300-355,14.38,64.57,27.67,2.24,36.2,0.35,0.88,0.346,2365.5,1969.4,8.135,0.02,0.0699,0.0597,136.3
Henehan2015,10.1002/2014GC005514,GGC48,Mixed morph,Globigerinoides ruber (white),250-300,0,161,29.41,0.36,34.61,0.51,0.92,0.151,2276.1,1905.3,8.108,0.064,0.0668,0.0574,95.6
Henehan2015,10.1002/2014GC005514,GeoB1208-2a,Mixed morph,Globigerinoides ruber (white),300-355,?24.49,7.11,21.05,3.64,35.62,0.19,1.33,0.334,2341,1991.4,8.165,0.044,0.0635,0.0555,112
Henehan2015,10.1002/2014GC005514,Eilat tow (27 Jan 2010),Mixed morph,Globigerinoides ruber (white),279,29.5,34.92,22,0.5,40.4,0.1,n/a,0.3,2500.4,2110.4,8.128,0.005,0.0681,0.0592,110.29
Henehan2015,10.1002/2014GC005514,Eilat tow (8 Feb 2010),Mixed morph,Globigerinoides ruber (white),209,29.5,34.92,23,0.5,40.32,0.1,n/a,0.14,2507.7,2114.6,8.116,0.005,0.0679,0.0589,99.39
Henehan2015,10.1002/2014GC005514,Eilat tow (7 Mar 2010),Mixed morph,Globigerinoides ruber (white),279,29.5,34.92,23,0.5,40.44,0.1,n/a,0.41,2500.3,2116.1,8.103,0.005,0.0663,0.0578,120.9
Henehan2015,10.1002/2014GC005514,MC655,sensu lato,Globigerinoides ruber (white),250-300,38.42,5.4,23.23,3,37.38,0.2,3.26,0.15,2580,2225,8.161,0.05,0.046,0.0418,116.6
Henehan2015,10.1002/2014GC005514,T329,sensu lato,Globigerinoides ruber (white),250-300,?12.96,173.57,28.63,1.45,34.79,0.24,2.59,0.215,2287.7,1876.2,8.175,0.023,0.0766,0.0647,89.2
Henehan2015,10.1002/2014GC005514,MC120,sensu lato,Globigerinoides ruber (white),250-300,12.47,45.38,28.38,5.55,36.76,1.23,1.34,0.403,2396.7,2013.6,8.092,0.068,0.0656,0.0564,136.4
