,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,derived,derived,derived,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,BOH4/DIC,BOH4_HCO3,deep_omega,B/Ca,DIC,PO4,TA,pHtot,pHtot_std,sal,sal_std,temp_C,temp_C_std,Description,Site,doi,lat,lon,shortref,size_fraction,species
0,313.6454399970058,116.30713143156575,429.9525714285715,8.286197730708132,277.6135346039907,1969.4,1683.500267665301,,36.2,2365.4999999999995,27.67,314.5560450736413,0.0597,0.0699,0.88,136.3,1969.4,0.34600000000000003,2365.5,8.135,0.02,36.2,0.35,27.67,2.24,Mixed morph,MC394,10.1002/2014GC005514,14.38,64.57,Henehan2015,300-355,Globigerinoides ruber (white)
1,302.99214334462147,108.07577094109284,411.06791428571427,8.426647958801196,260.06123861487924,1905.3,1636.8121134263195,,34.61,2276.1000000000004,29.41,330.6028731066503,0.0574,0.0668,0.92,95.6,1905.3,0.151,2276.1,8.107999999999999,0.064,34.61,0.51,29.41,0.36,Mixed morph,GGC48,10.1002/2014GC005514,0,161,Henehan2015,250-300,Globigerinoides ruber (white)
2,315.6675945749996,107.39623399642896,423.06382857142853,8.861738467980711,244.75572353208491,1991.3999999999999,1737.782537999934,,35.62,2341.0,21.05,283.3239067556388,0.0555,0.0635,1.33,112.0,1991.4,0.33399999999999996,2341.0,8.165,0.044000000000000004,35.62,0.19,21.05,3.64,Mixed morph,GeoB1208-2a,10.1002/2014GC005514,?24.49,7.11,Henehan2015,300-355,Globigerinoides ruber (white)
3,358.43020629640824,121.40636513216326,479.83657142857146,9.659852340681573,271.43966124146357,2110.4,1829.3004864178552,,40.4,2500.3999999999996,22.0,324.9982630209741,0.0592,0.0681,,110.29,2110.4,0.3,2500.4,8.128,0.005,40.4,0.1,22.0,0.5,Mixed morph,Eilat tow (27 Jan 2010),10.1002/2014GC005514,29.5,34.92,Henehan2015,279,Globigerinoides ruber (white)
4,357.6449185018392,121.24148149816074,478.8864,9.722286287317814,274.3072573420386,2114.6,1830.5704563706433,,40.32,2507.6999999999994,23.0,335.6355055233197,0.0589,0.0679,,99.39,2114.6,0.14,2507.7,8.116,0.005,40.32,0.1,23.0,0.5,Mixed morph,Eilat tow (8 Feb 2010),10.1002/2014GC005514,29.5,34.92,Henehan2015,209,Globigerinoides ruber (white)
5,361.23964308893443,119.07201405392269,480.31165714285714,10.045885523481717,268.0984561710912,2116.1,1837.9556583054273,,40.44,2500.2999999999993,23.0,347.02700428289637,0.0578,0.0663,,120.9,2116.1,0.41,2500.3,8.103,0.005,40.44,0.1,23.0,0.5,Mixed morph,Eilat tow (7 Mar 2010),10.1002/2014GC005514,29.5,34.92,Henehan2015,279,Globigerinoides ruber (white)
6,340.4271770799868,103.54042292001327,443.96760000000006,11.426208361499194,256.345893571865,2225.0,1957.2278980666356,,37.38,2580.0000000000005,23.23,390.7047877176806,0.0418,0.046,3.26,116.6,2225.0,0.15,2580.0,8.161,0.05,37.38,0.2,23.23,3.0,sensu lato,MC655,10.1002/2014GC005514,38.42,5.4,Henehan2015,250-300,Globigerinoides ruber (white)
7,293.29648496224695,119.90931503775299,413.2058,7.0688780107496205,286.5143983376349,1876.2,1582.6167236516155,,34.79,2287.699999999999,28.63,272.5730385877063,0.0647,0.0766,2.59,89.2,1876.2,0.215,2287.7,8.175,0.023,34.79,0.24,28.63,1.45,sensu lato,T329,10.1002/2014GC005514,?12.96,173.57,Henehan2015,250-300,Globigerinoides ruber (white)
8,324.4313312100966,112.1724402184748,436.6037714285714,9.237359870774563,269.952061920631,2013.6,1734.4105782085946,,36.76,2396.7,28.38,357.63343004602143,0.0564,0.0656,1.34,136.4,2013.6,0.40299999999999997,2396.7,8.092,0.068,36.76,1.23,28.38,5.55,sensu lato,MC120,10.1002/2014GC005514,12.47,45.38,Henehan2015,250-300,Globigerinoides ruber (white)
9,342.0589418987135,137.77762952985802,479.83657142857146,7.817572137267252,312.06004081363557,2058.4,1738.5223870490975,,40.4,2509.4999999999995,23.76,275.33135563817945,0.0679,0.0803,4.48,119.4,2058.4,0.129,2509.5,8.192,0.008,40.4,0.22,23.76,4.25,sensu lato,Eilat,10.1002/2014GC005514,29.5,34.92,Henehan2015,250-300,Globigerinoides ruber (white)
10,321.0700428199496,95.8176714657647,416.8877142857143,10.091424740002267,207.8290732572581,2018.5,1800.5795020027397,,35.1,2315.6999999999994,14.88,269.54458788043314,0.048,0.0538,2.57,127.9,2018.5,0.35,2315.7,8.197000000000001,0.005,35.1,0.25,14.88,3.53,sensu lato,Q699,10.1002/2014GC005514,?42.42,169.3,Henehan2015,250-355,Globigerinoides ruber (white)
