,Unnamed: 0_level_0,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,derived,derived,derived,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,Unnamed: 0_level_1,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,BOH4/DIC,BOH4_HCO3,deep_omega,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,B/Ca_std,BOH4_HCO3,BT,DIC,PO4,TA,TP,TS,depth_m,n,pHtot,pHtot_std,sal,sal_std,temp_C,temp_C_MgCa,temp_C_d18O,temp_C_std,Core,Description,Site,comments,core_depth_m,doi,lat,lon,sample_depth,shortref,site_info,size_fraction,species
0,0,356.73266031455483,57.92808968544509,414.66075,29.01158051611135,133.28849259830676,3003.9615877277515,2841.6615146133336,235.6,34.912499999999994,3166.709822614121,-0.87,447.69685338258506,,,,208.0,,,,5.12,0.0204,414.96,,,,,,2356.0,,8.004,,,,-0.87,,,,,,,,,10.1016/j.epsl.2011.08.023,73.2,-5.4,0-1,Brown2011,,,C. wuellerstorfi
1,1,350.7397670864198,64.01182939163418,414.75159647805395,29.64299027984157,160.4189100688364,3355.0936972472077,3165.0317968985296,384.1,34.920148849487354,3550.641289373727,2.63243293762207,523.3376145942193,,,,208.0,,,,4.53,0.0202392990634632,415.050912039621,,,,,,3841.0,,7.930603968336411,,,,2.63243293762207,,,,,,,,,10.1016/j.epsl.2011.08.023,32.45,-34.75,0-1,Brown2011,,,C. wuellerstorfi
2,2,351.3549490816157,63.09268555903265,414.44763464064835,29.938661834478296,154.34117121445027,3319.937149678544,3135.657316629615,404.1,34.89455668131512,3508.1606774432244,2.4300000667572,524.4932143342646,,,,194.0,,,,4.53,0.0201355606025199,414.746730840774,,,,,,4041.0,,7.91549156849586,,,,2.4300000667572,,,,,,,,,10.1016/j.epsl.2011.08.023,34.97,-17.35,0-1,Brown2011,,,C. wuellerstorfi
3,3,357.17961424665606,55.980453968850775,413.1600682155069,31.688720307244054,117.29797029885175,3014.130312487476,2865.14362188138,475.5,34.78614959716801,3156.290880396897,1.60145699977875,537.7315537877821,,,,140.0,,,,4.28,0.019552546404679,413.458235212054,,,,,,4755.0,,7.828796659451919,,,,1.60145699977875,,,,,,,,,10.1016/j.epsl.2011.08.023,-27.1875,-1.5831,top,Brown2011,,,C. wuellerstorfi
4,4,360.634008617512,53.3672173440265,414.00122596153847,30.202567183268037,113.03867100129068,2794.9657214224158,2651.724483237857,306.0,34.856971153846146,2931.788282769849,2.34,527.2171594821317,,,,212.0,,,,4.28,0.02014,414.3,,,,,,3060.0,,7.885,,,,2.34,,,,,,,,,10.1016/j.epsl.2011.08.023,-28.8,-2.64,top,Brown2011,,,C. wuellerstorfi
5,5,355.05056664197855,58.26717125207989,413.3177378940584,31.15150439815804,128.07249711024744,3119.0973468791985,2959.873345370793,455.0,34.79942464828493,3274.885870342965,1.50347900390625,526.6932586933933,,,,193.0,,,,3.21,0.0196999041402865,413.61601867675796,,,,,,4550.0,,7.8607273927917305,,,,1.50347900390625,,,,,,,,,10.1016/j.epsl.2011.08.023,5.0331,-42.733000000000004,3-5,Brown2011,,,C. wuellerstorfi
6,6,351.50480704065063,62.52988311389435,414.03469015454493,30.179749113897792,149.2384971738334,3298.98301675371,3119.564770465979,430.0,34.85978868272569,3481.259736058654,1.99832403659821,520.101897201727,,,,193.0,,,,8.6,0.020058890879573996,414.33348834325403,,,,,,4300.0,,7.9029372332472,,,,1.99832403659821,,,,,,,,,10.1016/j.epsl.2011.08.023,4.4753,-43.227,3-5,Brown2011,,,C. wuellerstorfi
7,0,348.37968030207674,66.34244351427732,414.72212381635404,28.71065831045312,174.44629415398083,3427.3620911269377,3224.2051386625044,338.2,34.91766738891602,3640.2455142205513,2.54900002479553,505.2933242791914,,,,85.2427443223896,,,,2.661,0.0205912211830487,415.02141810825896,,,,,,3382.0,,7.974470515462019,,,,2.54900002479553,,,,,,,,,10.1016/j.epsl.2011.08.023,35.8437,-73.8875,0-1,Brown2011,,,O. umbonatus
8,1,364.9224188021089,47.27637656164818,412.1987953637571,32.51400805470965,85.84476658407583,2583.4104054422114,2465.0516308034257,399.5,34.70521490914481,2684.4724422518275,0.8365285652024399,535.5883280055566,,,,41.4217297693907,,,,5.33,0.0191924964636338,412.496268634407,,,,,,3995.0,,7.796070657765861,,,,0.8365285652024399,,,,,,,,,10.1016/j.epsl.2011.08.023,-60.284,-170.023,6-8,Brown2011,,,O. umbonatus
