,Run,Run,Run,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC
,mean,std,len,solid,solid_std,fluid_pre,fluid_pre_std,fluid_post,fluid_post_std
Sample,,,,,,,,,
1.1,1.0,0.0,2,0.33938893132721437,8.150967329675907e-05,0.3304268952758324,2.8937713230536843e-05,0.3304637580952897,2.9973393205873222e-05
1.2,1.0,0.0,2,0.3425763650157193,8.694962053251709e-05,,,,
1.2b,9.0,0.0,2,0.33962226979526,0.00020736837682436282,,,,
1.3,2.5,0.5,4,0.3385666994083414,0.0003159892908737227,,,,
2.1,1.0,0.0,2,0.33544136666657287,2.525070718925604e-05,0.3305099713023256,7.920601665642457e-05,0.33051170192712065,8.366442031296217e-05
2.2,1.0,0.0,2,0.33553993334405474,0.00014290925556573186,,,,
2.3,2.5,0.5,4,0.33506797764273283,0.0003188190031181871,,,,
3.1,1.0,0.0,2,0.3353626165607937,6.914905957502993e-05,0.3305358914162176,1.898607222255988e-05,0.33049326094785886,5.181303898282863e-05
3.2,2.0,0.0,2,0.3345248121996971,9.434335111391245e-05,,,,
3.3,2.5,0.5,4,0.3343330283662001,0.00035923709524216197,,,,
4.1,1.0,0.0,2,0.3406956651094264,5.152364690985678e-05,0.33049451343939823,1.9421469080016518e-05,0.33051796409864176,4.114823204032225e-06
4.1b,9.0,0.0,2,0.3409253867934812,1.5699720058326427e-05,,,,
4.2,2.0,0.0,2,0.33563666549998195,0.00021320358022558494,,,,
4.3,2.5,0.5,4,0.3361771595037222,0.000421809983331501,,,,
4.4,8.0,0.0,2,0.33834962425520926,0.0007699700119401798,,,,
5.1,1.0,0.0,2,0.33628845311043043,5.9252892176953065e-06,0.33065363623384614,5.061963235775124e-05,0.3301096612028511,0.0001139230709782113
5.2,2.0,0.0,2,0.3355817022608626,1.2726976705845772e-07,,,,
5.3,2.5,0.5,4,0.3350039929251646,0.0006245271663239715,,,,
5.4,8.0,0.0,2,0.3353603143254831,0.000587189178930192,,,,
6.1,1.0,0.0,2,0.3366003115901632,2.1797499764608652e-05,0.3301703613052904,6.263428886105205e-05,0.3303311458571108,0.00014249235631658141
6.2,2.0,0.0,2,0.3342633048829672,0.00022525952145499573,,,,
6.3,2.5,0.5,4,0.3358342710031105,0.0005077002800503978,,,,
6.4,8.0,0.0,2,0.3359864561135858,1.0188886003792419e-05,,,,
7.1,1.0,0.0,2,0.33730138145546673,0.00014181624891593247,0.33125814996000297,0.00011067759380828379,0.3317604189781917,0.00018598237667144524
7.2,2.0,0.0,2,0.3371270349425188,5.157926849858052e-05,,,,
7.3,2.5,0.5,4,0.33732139993906224,0.0002544524894842997,,,,
8.1,6.0,0.0,2,0.33875836485773714,0.0005024718850168142,0.33231733587724366,0.0005992614074620262,0.33110136123612377,6.519196977022856e-05
8.2,6.0,0.0,2,0.3369198080232265,3.231135704265253e-05,0.33078346599187136,0.00036203318588967637,0.3324713814620691,0.00027886258776801953
8.3a,6.0,0.0,2,0.33764388220996633,0.0001342736000823075,,,,
8.3b,6.0,0.0,2,0.3376933968878416,0.0002825626971533768,,,,
C1.1,5.0,0.0,2,0.33528083755014637,8.45076979986703e-05,0.33035131317418687,0.00013163017503250996,0.33041043751001464,3.405895926994473e-05
C1.2,1.0,0.0,2,0.3363101265123164,1.0895929968973705e-05,,,,
C1.3,8.0,0.0,2,0.3379045314848782,0.0007579808853403203,,,,
C1.4,8.0,0.0,2,0.3360031806937752,0.0003717117789954205,,,,
C2.1,5.0,0.0,2,0.3362389022339579,5.212660990408513e-05,0.33156933031611424,7.711145693781174e-05,0.33154608903857685,1.279100052395399e-05
C2.2,8.0,0.0,2,0.3360944821293431,1.7377005665064615e-05,,,,
C2.3,6.0,0.0,2,0.3383514628759219,3.653873081480019e-05,0.3318426264868114,0.0004987919338934332,0.33165014268230275,1.4740867630452792e-05
C2.3b,8.0,0.0,2,0.3386602466495895,0.0001308971031455941,,,,
