Sample,Date,Time,6Li,7Li,7Li/6Li,Beta,6Li_SE,7Li_SE,7Li/6Li_SE,Beta_SE,Run
Blank,01/10/18,13:34:46,0.000528705921707,0.002500064011033,4.7281285837378,6.14521665548549,2.87676355615683E-06,1.99217337319051E-05,0.016312947231033,0.022467273779819,1
L-SVEC 0.3V,01/10/18,13:37:27,0.017219236055826,0.246458925047444,14.3120097046352,-1.05039921538942,8.88114443810126E-05,0.001271355457819,0.001947379492073,0.000883823043064,1
Wash,01/10/18,13:42:15,0.000664766155344,0.003605037181215,5.42269166285845,5.25487500015112,3.18025098652921E-06,2.28248743283053E-05,0.018286816954181,0.021886483564974,1
Blank,01/10/18,13:45:17,0.000702538172098,0.003892497207098,5.55077061068245,5.10273659948972,2.91923877299682E-06,2.12609685910606E-05,0.010575529091154,0.012369273336764,1
L-SVEC,01/10/18,13:47:58,0.017142014378802,0.244215385893137,14.2447182366825,-1.01978349964154,2.04857150739348E-05,0.000316895642024,0.002162892761715,0.000986270627443,1
Wash,01/10/18,13:52:52,0.000837881815029,0.005023834265557,6.01388763107404,4.58214938738072,2.30815548201871E-06,2.15234001601771E-05,0.011241599415324,0.012140292542228,1
Blank,01/10/18,13:55:53,0.000858113213553,0.005182500687994,6.0449343913395,4.54173831427943,4.23165339558135E-06,3.22161082909281E-05,0.011220312101033,0.010434598841021,1
L-SVEC,01/10/18,13:58:34,0.01739755946679,0.247002284177109,14.1974650485359,-0.998198123233446,4.61507998347956E-05,0.000673137567993,0.002223053786984,0.001017044461523,1
Wash,01/10/18,14:03:24,0.000960259575321,0.006052918574571,6.30529293477072,4.26964127766198,2.68041226624542E-06,2.20922916317959E-05,0.007168549760611,0.008591789097244,1
Blank,01/10/18,14:06:26,0.000971598284492,0.00612659264383,6.30575862655211,4.2743449527663,2.91661203101988E-06,2.10193131663505E-05,0.012803073264851,0.013177006062452,1
7Li ext std,01/10/18,14:09:06,0.016349880284528,0.238223837932296,14.5697348845257,-1.16633992793014,2.62021618252527E-05,0.000385175673256,0.001035877630998,0.000461868752516,1
Wash,01/10/18,14:14:00,0.001019650323808,0.006563466942712,6.44329585468337,4.13403596579497,5.70813475184917E-06,4.34461605741577E-05,0.008934206839806,0.009000561927258,1
Blank,01/10/18,14:17:02,0.001034310745706,0.0066741368695,6.44787141948285,4.12941013943039,3.15647167003812E-06,2.29932882932766E-05,0.008349433509146,0.008405789763793,1
L-SVEC,01/10/18,14:19:43,0.0178204505436,0.252436599989753,14.1648669505649,-0.983266981263577,1.70701334048003E-05,0.000255875089203,0.001000721765476,0.000458947334103,1
Wash,01/10/18,14:24:32,0.001078411390058,0.007134040779673,6.62154373640562,3.95683170035577,2.92913209014118E-06,2.56430487193117E-05,0.01151867748962,0.011338608650132,1
Blank,01/10/18,14:27:34,0.001085883656522,0.007190742607432,6.62056550061226,3.95775161769346,5.41721854820751E-06,4.56047340063871E-05,0.010479391812054,0.010255016279897,1
7Li ext std,01/10/18,14:30:15,0.016052278101983,0.233193680965886,14.5262616160488,-1.14692728478428,1.22837293343656E-05,0.000185943522023,0.001443074901653,0.000645393215449,1
Wash,01/10/18,14:35:09,0.001097661005193,0.007346927666486,6.6991904509197,3.88103713530853,5.35629284422287E-06,4.08932112961316E-05,0.009447196969843,0.009173860260866,1
Blank,01/10/18,14:38:10,0.001107756537927,0.007419419730577,6.70333157771896,3.87705901238095,4.12497014863046E-06,3.17981310371348E-05,0.010831044438577,0.010502239798015,1
L-SVEC,01/10/18,14:40:51,0.017951963786971,0.253984725316757,14.1474535587617,-0.975275956116651,2.43266717548326E-05,0.000357632549617,0.001165599752326,0.000535192156581,1
Blank,01/10/18,14:45:40,0.001124215725086,0.007622829730079,6.78059885517785,3.80261213564573,2.73560731025991E-06,2.15833211384443E-05,0.010815485841651,0.010359782701179,1
Wash,01/10/18,14:48:21,0.001115721741494,0.007519676268289,6.74941809595573,3.8324550028704,3.58446603034628E-06,2.71351608332248E-05,0.006927453814316,0.006665570302105,1
6Li ext std,01/10/18,14:51:21,0.017297829341378,0.242651518215613,14.0269444272995,-0.919704249632594,1.48988251444282E-05,0.000219278969847,0.000916617152934,0.000424481684723,1
Wash,01/10/18,14:56:15,0.001131163510558,0.007718794032855,6.82367940361408,3.76144319423291,3.55985798723862E-06,2.80616261283629E-05,0.009929536403172,0.009464176486744,1
Blank,01/10/18,14:59:17,0.001125117075267,0.007680148299581,6.83430221497685,3.75134176436953,2.71581196705784E-06,2.79952318945637E-05,0.010364292234089,0.009856336006447,1
L-SVEC,01/10/18,15:01:58,0.017361192269494,0.245369872489608,14.132018129389,-0.968184564211156,2.88007862047572E-05,0.000428253013896,0.001102383769831,0.000506639265931,1
Wash,01/10/18,15:06:48,0.001142910812398,0.007892127796341,6.90552222561519,3.68402621972267,3.79235348356088E-06,2.49990949764406E-05,0.01128857548765,0.010624830710241,1
