Species;Temperature;Test_diameter_um;Calcifying_chamber_diameter_um;weight_(CaCO3)_ng;Seawater_pH_at_100-110um_from_calcifying_chamber;pH_microenvironment_-_Last_chamber_;pH_variability;Q_nmol_h;Local_flux_nmol/cm2/s;Pumping_time_hrs;total_Amount_of_protons_pumped_pmol
Ammonia;30;179;94;78,68;8,2;6,9;1,3;2,66;5,32;5,0;13275
Ammonia;30;183;84;62,89;8,21;6,87;1,34;2,09;5,23;4,0;8340
Ammonia;30;196,3;117;124,11;8,18;6,9;1,28;3,32;4,29;5,68;18858
Ammonia;23;233;81;57,87;7,74;6,9;0,84;1,1;2,97;;
Ammonia;23;105;50;21,19;8,28;7,15;1,13;0,36;2,57;5,33;1940
Ammonia;23;94;40;13,15;8,2;7,35;0,85;0,27;2,96;5,4;1447
Ammonia;23;161;93,6;78,68;8,15;7,23;0,92;1,275;2,58;6,56;8364
Ammonia;23;184;90,4;73,22;8,06;7,15;0,91;1,71;3,70;5,65;9661,5
Ammonia;16;171,6;87;67,64;8,08;7,3;0,78;0,3565;2,01;11,16;3978,54
Ammonia;16;184,4;85;64,45;8,02;7,3;0,72;0,6;1,49;9,16;5496
Ammonia;16;157,2;62;33,38;7,9;7,3;0,6;0,2455;1,13;10,3;2528,65
Ammonia;12;119,2;68;40,51;7,96;7,65;0,31;0,08;0,23;11,7;883
Ammonia;12;105,5;39;12,31;7,95;7,67;0,28;0,06;0,29;11,8;726
Ammonia;12;135,8;42;14,61;7,87;7,61;0,26;0,05;0,53;14,7;772
Ammonia;12;158,3;80,2;57,13;7,97;7,45;0,52;0,259;0,71;10,5;2719,5
