Type,metadata,metadata,seed,seed,seed,seed,seed,seed,seed,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,solution_start,solution_start,solution_start,solution_start,solution_start,solution_end,solution_end,solution_end,solution_end,solution_end,solution_start,solution_end,solution_start,solution_end
Quantity,Batch,Experiment,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,d13C,percent_vaterite,diameter,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,d13C,percent_vaterite,diameter,Mg,Ca,Sr,B,Na,Mg,Ca,Sr,B,Na,C,d13C,pH_NBS,pH_NBS
Instrument,NA,NA,Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),GS-IRMS,XRD,SEM,iCap,iCap,iCap,iCap,GS-IRMS,XRD,SEM,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,dissolution,GS-IRMS,electrode,electrode
Unit,NA,NA,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,percent,μm,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,percent,μm,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,permil,NA,NA
15,1,Control,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,-0.0224,26.0077,0.0271,,108.01,79.47,5.57,-0.0014278,12.84523662,0.001013341,0.010101175,247.976348,0.000169724,10.8068663,0.000966068,0.001715326,237.159776,5,-2,8.213,7.461
16,1,Mg,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,0.8879,11.3045,0.029,,116.33,80.31,5.6,1.026357086,12.20809623,0.000964042,0.045178703,224.830172,1.040242348,10.40532902,0.000940788,0.039237702,235.743321,5,-2.43,8.209,7.486
17,1,Mg,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,1.7272,11.1567,0.0294,,114.12,80.99,5.59,2.06888593,10.70277736,0.000868844,-0.003059155,233.039178,2.041194828,10.4471377,0.000846042,0.011046946,229.208308,5,-3.12,8.193,7.479
18,1,Mg,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,3.8458,8.2277,0.0318,,121.5,79.71,5.39,4.928337647,10.71226089,0.000888204,0.030233035,223.381524,5.099406607,10.47131859,0.000845972,0.021339058,227.985006,5,-4.12,8.2,7.523
19,1,Mg,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,6.6334,8.6663,0.033,,136.93,79.71,5.19,9.428138389,11.58759378,0.001117838,0.012195611,213.820447,9.947284764,9.589236549,0.000764431,0.037020704,225.956898,5,-4.28,8.198,7.579
20,1,Mg,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,8.1929,9.1229,0.0411,,145.95,80.5,5.26,21.60752946,11.67541624,0.000961575,0.00250006,245.368782,19.93292689,10.80429107,0.00092809,0.003392362,226.27882,5,-4.79,8.209,7.785
21,1,Mg,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,6.5826,11.1489,0.0517,,142.36,70.82,5.39,49.24360293,8.826908539,0.000682277,0.023950237,223.735638,,,,,,5,-5.03,8.198,7.814
22,2,Sr,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,0.0136,31.2431,0.0708,,120.59,67.27,5.49,0.004987639,10.73343935,0.012245097,0.019421255,280.329487,-0.005645101,9.609094253,0.01219222,0.032220514,279.78222,5,3.12,8.201,7.457
23,2,Sr,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,-0.0199,7.4631,0.2239,,108.32,53.7,5.53,-0.007558896,10.18928573,0.048348764,0.039525246,267.130694,-0.008892404,10.87670077,0.051154144,0.051279938,279.170569,5,3.09,8.214,7.443
24,2,Sr,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,-0.0206,7.571,0.4167,,111.92,61.5,5.27,-0.006580583,10.69317077,0.105561192,0.014339765,277.625344,-0.009220629,9.901056857,0.099280794,0.017687972,261.207334,5,2.09,8.214,7.439
25,2,Sr,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,-0.0076,12.3327,0.5451,,116.83,60.2,5.21,-0.00617245,10.7750033,0.140126571,0.018496788,275.919159,-0.006829367,10.9942653,0.137133495,0.035741368,271.541023,5,2.18,8.217,7.467
26,2,Sr,0.0424,11.512,0.0526,0.0168,193.92,95.32,5,-0.0223,8.3644,0.8089,,107.02,52.7,5.22,-0.010803836,10.53549393,0.193024533,0.031357536,279.0418,0.090848468,12.50608702,0.177654958,0.021588511,255.219588,5,3.63,8.202,7.452
